bate,min,dif,tt_unid,ano_lan,ar_ut_un
FALSE,134,-0.4328358208955224,76,2008,75.45
FALSE,157,-0.5159235668789809,76,2008,75.45
FALSE,105,-0.34285714285714286,69,2008,69.18
FALSE,129,-0.5038759689922481,64,2008,96.67
FALSE,173,-0.5664739884393064,75,2008,96.67
FALSE,52,-0.34615384615384615,34,2009,69.18
FALSE,72,-0.5,36,2009,96.67
FALSE,76,-0.5657894736842105,33,2009,96.67
FALSE,744,-0.09139784946236562,676,2010,51.71
FALSE,197,-0.2791878172588832,142,2013,51
FALSE,14,-0.3571428571428571,9,2013,85
FALSE,5,-0.4,3,2013,88
FALSE,13,-0.3076923076923077,9,2013,72
TRUE,74,0.08108108108108114,80,2018,40.8
FALSE,29,-0.03448275862068961,28,2018,40.8
FALSE,119,-0.5798319327731092,50,2009,100.66
FALSE,136,-0.6323529411764706,50,2009,124
FALSE,86,-0.11627906976744184,76,2013,49
FALSE,16,-0.25,12,2013,63
FALSE,44,-0.40909090909090906,26,2013,63
FALSE,87,-0.8045977011494253,17,2009,208.7
FALSE,147,-0.5238095238095238,70,2014,89.93
FALSE,347,-0.6195965417867435,132,2018,98.39
FALSE,472,-0.8135593220338984,88,2018,202.78
TRUE,5,1,10,2018,24.7
FALSE,56,-0.3392857142857143,37,2013,63
FALSE,123,-0.26016260162601623,91,2011,57.03
FALSE,52,-0.42307692307692313,30,2013,72
FALSE,160,-0.625,60,2013,103
FALSE,200,-0.5800000000000001,84,2008,110.99
FALSE,294,-0.7142857142857143,84,2008,145.08
TRUE,25,0.08000000000000007,27,2010,60
TRUE,84,0.26190476190476186,106,2017,40.19
TRUE,84,0.26190476190476186,106,2017,38.72
TRUE,22,0,22,2015,50
FALSE,28,-0.2142857142857143,22,2015,53.48
FALSE,44,-0.43181818181818177,25,2015,63.61
TRUE,7,0.1428571428571428,8,2016,35.1
FALSE,35,-0.02857142857142858,34,2016,44.67
FALSE,59,-0.15254237288135597,50,2011,58.1
FALSE,145,-0.7241379310344828,40,2011,145.73
TRUE,25,0.040000000000000036,26,2018,36.23
TRUE,15,0.7333333333333334,26,2018,28.24
TRUE,4,0.25,5,2018,40.07
TRUE,13,0.6153846153846154,21,2018,42
TRUE,176,0.17045454545454541,206,2018,44.94
FALSE,50,-0.16000000000000003,42,2018,49.82
TRUE,48,1.2916666666666665,110,2018,18.12
TRUE,7,1,14,2018,21.52
TRUE,7,0.2857142857142858,9,2018,37.18
FALSE,86,-0.4767441860465116,45,2018,76.77
FALSE,23,-0.13043478260869568,20,2017,42.74
FALSE,10,-0.09999999999999998,9,2017,42.74
FALSE,446,-0.18385650224215244,364,2014,47.39
FALSE,152,-0.8486842105263158,23,2008,293.76
FALSE,231,-0.38528138528138534,142,2017,63.36
TRUE,20,0,20,2016,45.9
FALSE,54,-0.5,27,2015,85.72
TRUE,5,0,5,2015,47.6
FALSE,40,-0.19999999999999996,32,2015,50.5
FALSE,42,-0.7142857142857143,12,2008,149.06
FALSE,178,-0.7752808988764045,40,2008,170.34
FALSE,32,-0.875,4,2008,336.37
FALSE,84,-0.23809523809523814,64,2018,54.72
FALSE,114,-0.33333333333333337,76,2018,65.89
FALSE,192,-0.40625,114,2018,65.89
FALSE,33,-0.21212121212121215,26,2018,45.14
FALSE,45,-0.4222222222222223,26,2018,67.4
FALSE,142,-0.45070422535211263,78,2018,71.01
FALSE,118,-0.5593220338983051,52,2018,92.87
FALSE,41,-0.2682926829268293,30,2018,61.3
FALSE,107,-0.3271028037383178,72,2016,64.6
FALSE,150,-0.5466666666666666,68,2016,75.56
FALSE,18,-0.33333333333333337,12,2016,61.47
FALSE,83,-0.5662650602409638,36,2016,94.46
FALSE,22,-0.18181818181818177,18,2009,55
FALSE,25,-0.28,18,2009,62
FALSE,54,-0.33333333333333337,36,2009,65
FALSE,60,-0.19999999999999996,48,2014,57.4
FALSE,19,-0.368421052631579,12,2014,71.7
FALSE,23,-0.26086956521739135,17,2016,57
FALSE,115,-0.8695652173913043,15,2015,294.41
FALSE,82,-0.8780487804878049,10,2015,294.47
FALSE,54,-0.7592592592592593,13,2008,189.3
TRUE,37,0.08108108108108114,40,2018,41
FALSE,42,-0.04761904761904767,40,2018,41
FALSE,77,-0.3246753246753247,52,2009,62.2
TRUE,76,0,76,2018,44
TRUE,5,0.6000000000000001,8,2018,28
TRUE,40,0.07499999999999996,43,2018,40.2
FALSE,166,-0.27108433734939763,121,2017,59.87
FALSE,197,-0.3857868020304569,121,2017,59.87
FALSE,248,-0.5120967741935484,121,2017,72.14
FALSE,191,-0.3664921465968587,121,2017,68.62
FALSE,171,-0.29239766081871343,121,2017,68.57
FALSE,308,-0.04870129870129869,293,2018,40.71
FALSE,23,-0.4347826086956522,13,2018,74
TRUE,48,0.14583333333333326,55,2018,41
TRUE,36,0,36,2018,41
TRUE,6,0.16666666666666674,7,2018,39.77
FALSE,146,-0.7123287671232876,42,2018,162.3
FALSE,66,-0.5,33,2018,85.62
FALSE,556,-0.8453237410071942,86,2016,267.53
FALSE,72,-0.7916666666666666,15,2011,175.5
FALSE,19,-0.8947368421052632,2,2011,437.35
TRUE,30,0.10000000000000009,33,2017,40.19
TRUE,31,0.06451612903225801,33,2017,41.56
TRUE,83,0.0843373493975903,90,2018,41
FALSE,74,-0.29729729729729726,52,2018,72.11
TRUE,7,0.1428571428571428,8,2018,41
FALSE,71,-0.04225352112676062,68,2018,41
FALSE,40,-0.15000000000000002,34,2018,50
FALSE,98,-0.30612244897959184,68,2016,67.1
FALSE,81,-0.18518518518518523,66,2016,37.43
FALSE,33,-0.3939393939393939,20,2016,66
FALSE,49,-0.26530612244897955,36,2016,51.7
FALSE,37,-0.3513513513513513,24,2016,51.7
FALSE,44,-0.36363636363636365,28,2016,70.37
FALSE,32,-0.53125,15,2013,89
FALSE,63,-0.746031746031746,16,2013,140
FALSE,19,-0.10526315789473684,17,2011,46.14
FALSE,104,-0.34615384615384615,68,2011,64.65
FALSE,249,-0.4337349397590361,141,2017,91.41
TRUE,14,0.1428571428571428,16,2014,33.23
FALSE,50,-0.040000000000000036,48,2014,43.07
TRUE,2,0,2,2014,33.23
FALSE,37,-0.2432432432432432,28,2014,43.07
FALSE,96,-0.08333333333333337,88,2017,42.74
FALSE,98,-0.10204081632653061,88,2017,42.74
FALSE,97,-0.09278350515463918,88,2017,43.4
TRUE,27,0,27,2015,46.5
FALSE,28,-0.0714285714285714,26,2015,49.32
FALSE,27,-0.03703703703703709,26,2015,38.72
FALSE,30,-0.16666666666666663,25,2013,47
FALSE,30,-0.33333333333333337,20,2013,47
FALSE,23,-0.5217391304347826,11,2013,86
TRUE,26,0.6923076923076923,44,2017,15.12
TRUE,37,0.18918918918918926,44,2017,15.12
FALSE,36,-0.38888888888888884,22,2014,69.18
FALSE,11,-0.4545454545454546,6,2014,83.49
TRUE,36,1,72,2018,25.22
FALSE,83,-0.45783132530120485,45,2014,68.5
FALSE,68,-0.5588235294117647,30,2014,92
FALSE,90,-0.07777777777777772,83,2015,49.7
FALSE,81,-0.33333333333333337,54,2015,59.9
TRUE,13,0.15384615384615374,15,2017,42.64
TRUE,15,0,15,2017,42.64
