ano_lan,tt_unid,classe,zeis,LPUOS
2010,6,HMP,2,2016
2010,29,HMP,2,2016
2015,27,alto padrão,2,2016
2015,22,alto padrão,2,2016
2015,36,alto padrão,2,2016
2014,56,alto padrão,2,2016
2014,4,alto padrão,2,2016
2008,160,HMP,2,2016
2014,221,alto padrão,2,2016
2014,156,HMP,2,2016
2009,66,HMP,2,2016
2009,50,HMP,2,2016
2009,148,HMP,2,2016
2009,116,HMP,2,2016
2013,80,alto padrão,2,2016
2013,80,alto padrão,2,2016
2014,76,alto padrão,2,2016
2014,76,alto padrão,2,2016
2018,144,HMP,2,2016
2018,96,alto padrão,2,2016
2018,34,alto padrão,2,2016
2015,74,alto padrão,2,2016
2015,63,alto padrão,2,2016
2015,102,alto padrão,2,2016
2015,36,alto padrão,2,2016
2015,74,alto padrão,2,2016
2008,100,alto padrão,2,2016
2008,300,alto padrão,2,2016
2017,200,HMP,2,2016
2017,220,HMP,2,2016
2017,283,HMP,2,2016
2017,283,HMP,2,2016
2018,286,HMP,2,2016
2018,44,HMP,2,2016
2015,51,alto padrão,2,2016
2008,250,HMP,2,2016
2013,140,alto padrão,2,2016
2010,164,alto padrão,2,2016
2010,54,alto padrão,2,2016
2010,109,alto padrão,2,2016
2012,274,HMP,2,2016
2016,146,alto padrão,2,2016
2014,16,HMP,2,2016
2014,93,HMP,2,2016
2014,185,alto padrão,2,2016
2012,149,HMP,2,2016
2012,150,alto padrão,2,2016
2015,298,alto padrão,2,2016
2017,191,HMP,2,2016
2017,191,HMP,2,2016
2018,214,HMP,2,2016
2018,160,alto padrão,2,2016
2017,144,HMP,2,2016
2011,50,alto padrão,2,2016
2011,65,alto padrão,2,2016
2011,39,alto padrão,2,2016
2017,144,HMP,2,2016
2017,352,HMP,2,2016
2017,300,HMP,2,2016
2010,15,alto padrão,3,2016
2011,16,alto padrão,3,2016
2014,184,alto padrão,3,2016
2014,69,alto padrão,3,2016
2014,23,alto padrão,3,2016
2009,72,alto padrão,3,2016
2009,68,alto padrão,3,2016
2008,108,alto padrão,3,2016
2008,116,alto padrão,3,2016
2008,112,alto padrão,3,2016
2015,150,alto padrão,3,2016
2015,150,alto padrão,3,2016
2015,179,alto padrão,3,2016
2015,42,alto padrão,3,2016
2015,180,alto padrão,3,2016
2015,24,alto padrão,3,2016
2015,182,alto padrão,3,2016
2015,16,alto padrão,3,2016
2016,144,alto padrão,3,2016
2016,44,alto padrão,3,2016
2016,26,alto padrão,3,2016
2016,18,alto padrão,3,2016
2016,112,alto padrão,3,2016
2016,40,alto padrão,3,2016
2014,28,alto padrão,3,2016
2014,42,alto padrão,3,2016
2014,61,alto padrão,3,2016
2014,18,alto padrão,3,2016
2018,348,HMP,3,2016
2018,52,alto padrão,3,2016
2018,266,alto padrão,3,2016
2018,64,HMP,3,2016
2014,112,alto padrão,3,2016
2014,32,alto padrão,3,2016
2014,16,alto padrão,3,2016
2009,74,alto padrão,3,2016
2009,136,alto padrão,3,2016
2009,87,alto padrão,3,2016
2014,172,HMP,3,2016
2014,20,alto padrão,3,2016
2014,108,alto padrão,3,2016
2009,103,HMP,3,2016
